spend_bin,cum_provider_share,cum_spend_share
352,0.3521577666794724,0.008463712871137409
353,0.3531582148802664,0.008520328746621106
354,0.3541586630810603,0.008577183945794684
355,0.3551591112818543,0.008634287339328027
356,0.3561595594826482,0.008691643937325263
357,0.3571600076834422,0.008749230172287946
358,0.3581604558842361,0.008807093661783689
359,0.3591609040850301,0.008865223644093121
360,0.3601613522858241,0.00892359015667494
361,0.361161800486618,0.008982208610405438
362,0.362162248687412,0.00904108241074302
363,0.3631626968882059,0.009100197990780809
364,0.3641631450889999,0.009159577937182454
365,0.3651635932897938,0.00921924376554001
366,0.3661640414905878,0.009279168039942602
367,0.3671644896913817,0.009339385348548425
368,0.3681649378921757,0.009399872429879495
369,0.36916538609296967,0.009460622782962788
370,0.3701658342937636,0.009521646863497218
371,0.3711662824945576,0.009582942760816603
372,0.3721667306953515,0.00964449588402254
373,0.3731671788961455,0.009706287691414073
374,0.3741676270969394,0.0097683595310628
375,0.3751680752977334,0.009830730941197833
376,0.37616852349852736,0.00989337812676705
377,0.3771689716993213,0.009956267068496439
378,0.37816941990011527,0.010019479360070895
379,0.3791698681009092,0.010082992858164087
380,0.38017031630170317,0.010146788252100587
381,0.3811707645024971,0.010210915866552034
382,0.3821712127032911,0.010275310530931335
383,0.38317166090408505,0.010340003196461268
384,0.384172109104879,0.010404992556669886
385,0.38517255730567296,0.010470243709531861
386,0.3861730055064669,0.010535802868059373
387,0.38717345370726086,0.010601673865354799
388,0.3881739019080548,0.010667831321336994
389,0.38917435010884877,0.010734259934983163
390,0.39017479830964275,0.010801001262301884
391,0.39117524651043667,0.010868042901618014
392,0.39217569471123065,0.010935356965836673
393,0.3931761429120246,0.011002931441693295
394,0.39417659111281855,0.011070783442793377
395,0.3951770393136125,0.01113894291598487
396,0.39617748751440646,0.011207392127774685
397,0.39717793571520044,0.011276110143224967
398,0.39817838391599436,0.011345108893210158
399,0.39917883211678834,0.0114144161510483
400,0.40017928031758226,0.01148403053180067
401,0.40117972851837624,0.011553959399574895
402,0.40218017671917017,0.01162418781037205
403,0.40318062491996415,0.01169474682134507
404,0.40418107312075807,0.011765579312598858
405,0.40518152132155205,0.011836699945651922
406,0.40618196952234603,0.011908111109817824
407,0.40718241772313996,0.01197981573190759
408,0.40818286592393394,0.012051844975004314
409,0.40918331412472786,0.012124142256710364
410,0.41018376232552184,0.012196740839095296
411,0.41118421052631576,0.01226969161963827
412,0.41218465872710974,0.012342967715619237
413,0.4131851069279037,0.012416545057352337
414,0.41418555512869765,0.012490433315868646
415,0.4151860033294916,0.01256465002064761
416,0.41618645153028555,0.012639182746474055
417,0.41718689973107953,0.012714029472828299
418,0.41818734793187345,0.012789170634017863
419,0.41918779613266743,0.012864650489232018
420,0.4201882443334614,0.012940489380984401
421,0.42118869253425534,0.013016667033458145
422,0.4221891407350493,0.013093156826796917
423,0.42318958893584324,0.013169966046641574
424,0.4241900371366372,0.01324715376278679
425,0.42519048533743115,0.013324669450470618
426,0.4261909335382251,0.01340250443519014
427,0.4271913817390191,0.013480702175773435
428,0.42819182993981303,0.013559233196173252
429,0.429192278140607,0.01363808258377738
430,0.43019272634140093,0.013717212843233285
431,0.4311931745421949,0.01379665162231216
432,0.43219362274298884,0.013876389928720612
433,0.4331940709437828,0.013956494145357531
434,0.4341945191445768,0.014036940233923776
435,0.4351949673453707,0.014117738571651472
436,0.4361954155461647,0.014198945603621378
437,0.4371958637469586,0.014280526204177831
438,0.4381963119477526,0.01436243980599373
439,0.43919676014854653,0.014444716132286685
440,0.4401972083493405,0.014527360922901916
441,0.4411976565501345,0.014610365150235971
442,0.4421981047509284,0.014693705505730797
443,0.4431985529517224,0.014777415110215733
444,0.4441990011525163,0.014861532628198384
445,0.4451994493533103,0.014946001128103932
446,0.4461998975541042,0.015030827165832145
447,0.4472003457548982,0.015116042214409913
448,0.4482007939556921,0.015201625393826126
449,0.4492012421564861,0.015287643043822952
450,0.4502016903572801,0.01537402468553539
451,0.451202138558074,0.015460760224211736
452,0.452202586758868,0.015547857322133402
453,0.4532030349596619,0.015635325697411537
454,0.4542034831604559,0.015723150045100005
455,0.4552039313612498,0.015811371638726958
456,0.4562043795620438,0.015899993240323183
457,0.4572048277628378,0.015989057206258445
458,0.4582052759636317,0.01607850117505651
459,0.4592057241644257,0.016168324436592982
460,0.4602061723652196,0.016258529941218923
461,0.4612066205660136,0.016349148557766993
462,0.4622070687668075,0.01644021106875638
463,0.4632075169676015,0.01653170719896178
464,0.46420796516839546,0.016623600669265805
465,0.4652084133691894,0.016715882499145084
466,0.46620886156998337,0.01680855636869176
467,0.4672093097707773,0.016901589745577365
468,0.46820975797157127,0.016994999056823046
469,0.4692102061723652,0.017088845765460367
470,0.4702106543731592,0.01718309677027668
471,0.47121110257395316,0.01727780183882946
472,0.4722115507747471,0.017372933484204427
473,0.47321199897554106,0.017468458369788584
474,0.474212447176335,0.017564398548671447
475,0.47521289537712896,0.017660774873400755
476,0.4762133435779229,0.017757594362830295
